YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,UNWEIGHTED ILI,WEIGHTED ILI
2009,40,9302,27406,8554,X,2255,903,48420,855346,2056,5.66087,6.06923
2009,41,11527,32585,10271,X,2800,1013,58196,853912,2134,6.81522,7.09467
2009,42,13187,39364,12399,X,3048,1070,69068,906536,2162,7.61889,7.7151
2009,43,13174,36860,12166,X,3083,1128,66411,898860,2167,7.38836,7.55134
2009,44,12161,30860,10250,X,2672,1074,57017,899425,2197,6.33927,6.67118
2009,45,10151,21112,8174,X,2314,978,42729,864348,2191,4.94349,5.20633
2009,46,8979,14652,6163,X,1843,883,32520,853552,2157,3.80996,4.04477
2009,47,7716,8237,4378,X,1406,771,22508,654101,2146,3.44106,3.49722
2009,48,7195,7988,4259,X,1470,818,21730,814550,2122,2.66773,2.69023
2009,49,6490,7218,3588,X,1314,715,19325,781811,2093,2.47183,2.47119
2009,50,6275,5785,3249,X,1113,659,17081,728401,2014,2.345,2.44773
2009,51,6078,4127,2677,X,1049,644,14575,536961,1934,2.71435,2.64594
2009,52,6598,3726,3202,X,1284,803,15613,583299,1937,2.67667,2.61567
2010,1,4998,3961,3333,X,1244,763,14299,721138,1996,1.98284,1.90712
2010,2,4877,4614,2793,X,1182,622,14088,770895,2016,1.82749,1.86738
2010,3,5399,5079,2693,X,1008,578,14757,766177,2053,1.92606,1.88072
2010,4,5333,5655,2560,X,1046,528,15122,785580,2026,1.92495,1.96908
2010,5,5816,6142,2581,X,948,550,16037,767773,1996,2.08877,2.11387
2010,6,5496,5577,2644,X,1006,658,15381,756068,1977,2.03434,2.09695
2010,7,5388,5536,2649,X,994,498,15065,762208,1954,1.97649,1.90294
2010,8,5040,6207,2943,X,1218,679,16087,806925,1990,1.99362,1.96951
2010,9,4281,5685,2763,X,1085,672,14486,781411,1953,1.85383,1.92331
2010,10,4612,5270,2660,X,1112,700,14354,768702,1946,1.8673,1.89659
2010,11,4063,4466,2468,X,976,628,12601,741293,1933,1.69987,1.75181
2010,12,3625,4108,2097,X,827,534,11191,747358,1917,1.49741,1.52632
2010,13,3408,3733,1954,X,736,528,10359,713863,1875,1.45112,1.49572
2010,14,3090,2933,1718,X,644,428,8813,730068,1850,1.20715,1.22313
2010,15,3117,3110,1572,X,598,404,8801,749563,1831,1.17415,1.17754
2010,16,2921,3044,1461,X,522,414,8362,719580,1765,1.16207,1.09112
2010,17,3081,2972,1435,X,557,395,8440,720054,1755,1.17213,1.11958
2010,18,2781,2901,1385,X,482,365,7914,705551,1710,1.12168,1.08169
2010,19,2851,2645,1363,X,491,347,7697,669414,1664,1.14981,1.12497
2010,20,2816,2553,1364,X,498,372,7603,670887,1624,1.13328,1.06197
2010,21,2636,2188,1235,X,445,349,6853,633532,1497,1.08171,1.08909
2010,22,2413,2172,1212,X,463,335,6595,549773,1421,1.19959,1.1776
2010,23,2147,1831,1081,X,374,322,5755,604004,1435,0.952808,0.97493
2010,24,1975,1784,978,X,339,240,5316,580329,1405,0.916032,0.987132
2010,25,2027,1779,882,X,397,249,5334,575664,1384,0.926582,0.995991
2010,26,1754,1541,862,X,323,238,4718,542536,1347,0.86962,0.904726
2010,27,1753,1566,816,X,334,222,4691,519414,1353,0.903133,0.941927
2010,28,1458,1450,819,X,298,209,4234,547187,1284,0.773776,0.880415
2010,29,1323,1335,759,X,335,198,3950,531790,1265,0.742774,0.842615
2010,30,1290,1279,805,X,302,174,3850,526723,1250,0.730934,0.858382
2010,31,1381,1357,839,X,291,209,4077,518121,1241,0.786882,0.83383
2010,32,1378,1307,809,X,300,214,4008,525260,1212,0.763051,0.847437
2010,33,1485,1592,883,X,360,198,4518,537190,1225,0.841043,0.888273
2010,34,1520,1592,811,X,295,202,4420,558382,1235,0.791573,0.765372
2010,35,1564,1866,1019,X,354,204,5007,548573,1170,0.912732,0.91858
2010,36,1850,1959,1076,X,374,234,5493,531250,1198,1.03398,1.01432
2010,37,1720,2118,1061,X,358,253,5510,589930,1210,0.934009,1.01233
2010,38,2134,2510,1291,X,480,326,6741,623077,1206,1.08189,1.11803
2010,39,1995,2383,1269,X,446,294,6387,599366,1254,1.06563,1.11806
