YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,UNWEIGHTED ILI,WEIGHTED ILI
2011,40,3106,3485,1765,X,632,377,9365,778182,1850,1.20345,1.16092
2011,41,3317,3667,1777,X,672,370,9803,791987,1883,1.23777,1.19785
2011,42,3324,3837,1763,X,655,379,9958,794995,1905,1.25259,1.27926
2011,43,3453,4035,1773,X,657,380,10298,788840,1900,1.30546,1.29194
2011,44,3634,4658,1957,X,760,387,11396,784334,1925,1.45295,1.42824
2011,45,3949,4348,2072,X,671,456,11496,797839,1946,1.44089,1.39803
2011,46,3923,4361,2166,X,797,474,11721,801594,1900,1.46221,1.45831
2011,47,4125,3340,1803,X,679,430,10377,626731,1918,1.65573,1.56548
2011,48,4237,3955,2059,X,815,413,11479,782984,1904,1.46606,1.34313
2011,49,3995,4040,1938,X,772,442,11187,736905,1898,1.51811,1.48139
2011,50,4579,4097,2077,X,838,546,12137,729258,1872,1.66429,1.63398
2011,51,5016,3535,2068,X,818,521,11958,645424,1851,1.85274,1.83126
2011,52,5243,3184,2315,X,946,668,12356,581697,1821,2.12413,2.10451
2012,1,4514,3393,2342,X,1028,715,11992,678631,1891,1.76709,1.73625
2012,2,4059,3636,2319,X,918,611,11543,747894,1883,1.5434,1.55066
2012,3,4364,4030,2247,X,800,498,11939,724623,1887,1.64762,1.62891
2012,4,4766,4802,2303,X,825,513,13209,784244,1891,1.6843,1.76038
2012,5,5218,5336,2415,X,915,564,14448,775298,1885,1.86354,1.92728
2012,6,5028,5555,2582,X,894,565,14624,784516,1875,1.86408,1.91994
2012,7,5277,5994,2937,X,1054,667,15929,789193,1884,2.01839,2.09951
2012,8,5246,5990,3009,X,1131,761,16137,767022,1853,2.10385,2.23973
2012,9,5219,6239,3141,X,1153,766,16518,788242,1826,2.09555,2.21921
2012,10,4811,6493,2832,X,998,629,15763,749198,1816,2.10398,2.16693
2012,11,5175,6768,3321,X,1185,701,17150,747570,1819,2.2941,2.38913
2012,12,4422,5683,2822,X,988,609,14524,755579,1780,1.92223,1.96466
2012,13,3807,5256,2485,X,920,549,13017,747079,1753,1.74239,1.84229
2012,14,3582,4631,2306,X,839,572,11930,711808,1729,1.67601,1.68674
2012,15,3253,4059,2109,X,767,544,10732,717202,1707,1.49637,1.53136
2012,16,3001,4020,1990,X,719,393,10123,732480,1699,1.38202,1.37912
2012,17,2638,3802,1831,X,664,435,9370,726772,1675,1.28926,1.29515
2012,18,2509,3671,1728,X,636,455,8999,662649,1564,1.35803,1.39521
2012,19,2524,3468,1559,X,606,419,8576,655492,1546,1.30833,1.32522
2012,20,2465,3087,1547,X,588,375,8062,636347,1503,1.26692,1.23059
2012,21,2545,3011,1461,X,483,378,7878,616765,1415,1.27731,1.23028
2012,22,2480,2601,1276,X,446,350,7153,550614,1409,1.2991,1.26877
2012,23,2336,2352,1281,X,458,338,6765,581700,1365,1.16297,1.10782
2012,24,2231,2024,1150,X,428,300,6133,564670,1289,1.08612,1.09559
2012,25,2259,1974,1119,X,411,285,6048,572296,1295,1.0568,1.11031
2012,26,2168,1850,1058,X,422,288,5786,536380,1260,1.07871,1.10616
2012,27,1911,1706,1013,X,388,273,5291,505533,1271,1.04662,1.10816
2012,28,1913,1751,964,X,337,220,5185,558637,1240,0.928152,0.999444
2012,29,1818,1640,914,X,318,241,4931,546713,1223,0.901936,0.924199
2012,30,1752,1721,975,X,372,283,5103,557488,1250,0.915356,0.949257
2012,31,1728,1706,1050,X,408,267,5159,541600,1240,0.952548,0.978903
2012,32,1660,1718,989,X,375,284,5026,548294,1248,0.916661,0.925024
2012,33,1721,1755,986,X,357,232,5051,560110,1238,0.901787,0.848456
2012,34,2098,2128,1194,X,425,296,6141,594395,1238,1.03315,1.04451
2012,35,1958,2335,1305,X,443,277,6318,600354,1238,1.05238,1.0986
2012,36,1886,2294,1317,X,481,318,6296,558585,1242,1.12713,1.22071
2012,37,2176,2870,1408,X,513,415,7382,622114,1252,1.1866,1.24976
2012,38,2295,2972,1530,X,511,348,7656,630563,1268,1.21415,1.22892
2012,39,2421,2867,1546,X,575,398,7807,623572,1248,1.25198,1.29393
